POI,Country,x,y,count
NYC,United States,-74.2772871,40.84002437,75
"Miami, FL",United States,-80.12423,26.38205,54
"Washington, DC",United States,-77.06308849,38.80449873,44
"Boston, MA",United States,-71.00966749,42.36561318,29
"Atlanta, GA",United States,-84.29653493,33.77488827,21
Dubai,United Arab Emirates,55.2968889,25.26734155,15
"Tampa, FL",United States,-82.52758401,27.34187285,14
London,United Kingdom,-0.454381332,51.4710849,11
"Los Angeles, CA",United States,-118.3988971,34.02069285,10
"Las Vegas, NV",United States,-115.1568348,36.07859662,8
Dusseldorf,Germany,10.407503,51.1313427,6
"Orlando, FL",United States,-81.30427385,28.41796386,6
"Phoenix, AZ",United States,-111.73845,33.43669,6
"San Diego, CA",United States,-117.03015,32.76292,6
Jeddah,Saudi Arabia,39.20005728,21.48660601,4
"Stonycreek Township, PA",United States,-78.89478597,40.06041827,4
"Virginia Beach, VA",United States,-76.00891003,36.85348202,4
Bahamas,Bahamas,-78.64203627,26.53298354,3
Beirut,Lebanon,35.53687693,34.0022678,3
Madrid,Spain,-3.692263865,40.41942405,3
"San Francisco, CA",United States,-122.4798203,37.78139427,3
Afghanistan,Afghanistan,65.5182552,33.81595045,2
Amsterdam,Netherlands,4.769376369,52.30869855,2
Berlin,Germany,13.56068945,52.60889455,2
Frankfurt,Germany,8.561997362,50.03799726,2
Mecca,Saudi Arabia,39.86136586,21.39609524,2
"Oklahoma, OK",United States,-97.43858977,35.22268428,2
"Portland, ME",United States,-70.24501905,43.65515923,2
Reus,Spain,1.062234013,41.06685061,2
Bangkok,Thailand,100.5019521,13.74523741,1
Brussels,Belgium,4.428867109,50.89734411,1
Cairo,Egypt,31.24405779,30.04779857,1
Casablanca,Morocco,-7.52682975,33.66656462,1
"Chicago, IL",United States,-87.90913,41.9801,1
"Hebron, KY",United States,-84.66427643,39.05057794,1
Iran,Iran,54.24276458,32.14241434,1
Istanbul,Turkey,28.87619,41.01327,1
"Jacksonville, FL",United States,-81.61036,30.26407,1
Karachi,Pakistan,67.0092933,24.96467101,1
"Minneapolis, MN",United States,-93.23052103,44.8849668,1
Paris,France,2.303498822,48.89158712,1
"Philadelphia, PA",United States,-75.04714844,39.99597991,1
Prague,Czech Republic,14.56758278,50.13712343,1
Riyadh,Saudi Arabia,46.68518746,24.83371747,1
Southeast Asia,Southeast Asia,101.5715238,14.22680953,1
Syria,Syria,38.61560323,34.99257218,1
Yemen,Yemen,47.39389578,15.8613266,1
Zurich,Switzerland,8.5346534,47.37487626,1
